,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
77,Borussia Dortmund,VfB Stuttgart,21,12,7,3,0.85,0.74,0.47,0.53,21,16,25,39,0.58,0.42,0,0
78,Borussia,Freiburg,14,14,4,4,0.74,0.85,0.65,0.35,5,12,23,11,0.4,0.6,1,1
79,Bayer Leverkusen,Fortuna,18,14,10,3,0.86,0.77,0.62,0.38,21,9,26,43,0.54,0.46,3,2
80,Hannover 96,Augsburg,14,11,4,5,0.75,0.73,0.37,0.63,3,3,22,15,0.52,0.48,2,0
81,Werder Bremen,Mainz 05,17,13,4,4,0.83,0.7,0.54,0.46,23,11,30,36,0.58,0.42,2,1
82,Hannover 96,Borussia,6,14,3,9,0.8,0.72,0.37,0.63,11,17,27,13,0.56,0.44,2,3
83,Mainz 05,Hoffenheim,12,7,5,3,0.82,0.73,0.64,0.36,17,14,32,32,0.55,0.45,3,0
84,Freiburg,Borussia Dortmund,6,17,2,6,0.56,0.61,0.47,0.53,10,14,33,31,0.52,0.48,0,2
85,Augsburg,Hamburger SV,19,10,2,4,0.73,0.78,0.49,0.51,8,14,28,24,0.46,0.54,0,2
86,Hamburger SV,Bayern Munich,7,15,3,8,0.85,0.85,0.4,0.6,10,14,15,17,0.46,0.54,0,3
87,Nuernberg,Wolfsburg,11,3,4,2,0.83,0.8,0.67,0.33,15,9,21,24,0.5,0.5,1,0
88,Eintracht Frankfurt,Greuther Fuerth,7,12,4,8,0.7,0.7,0.57,0.43,12,4,19,21,0.52,0.48,1,1
89,Hoffenheim,Schalke 04,6,23,4,10,0.69,0.86,0.3,0.7,15,24,29,28,0.3,0.7,3,2
90,Bayern Munich,Eintracht Frankfurt,19,13,12,2,0.86,0.76,0.6,0.4,10,9,14,21,0.62,0.38,2,0
91,Augsburg,Borussia Dortmund,16,16,8,4,0.77,0.75,0.54,0.46,7,9,24,26,0.52,0.48,1,3
92,Schalke 04,Werder Bremen,5,9,4,3,0.84,0.77,0.48,0.52,22,14,25,20,0.56,0.44,2,1
93,Greuther Fuerth,Borussia,10,10,3,7,0.8,0.84,0.42,0.58,8,6,26,15,0.41,0.59,2,4
94,VfB Stuttgart,Hannover 96,13,10,8,4,0.84,0.76,0.25,0.75,11,7,22,21,0.57,0.43,2,4
95,Fortuna,Hoffenheim,10,4,3,1,0.86,0.83,0.27,0.73,6,7,13,17,0.5,0.5,1,1
96,Wolfsburg,Bayer Leverkusen,12,9,6,4,0.85,0.8,0.43,0.57,9,15,28,20,0.5,0.5,3,1
97,Borussia Dortmund,Greuther Fuerth,15,6,6,2,0.88,0.72,0.4,0.6,18,7,26,22,0.7,0.3,3,1
98,Freiburg,Hamburger SV,16,9,3,4,0.82,0.71,0.53,0.47,15,7,14,22,0.55,0.45,0,0
99,Borussia,VfB Stuttgart,12,13,5,6,0.8,0.84,0.65,0.35,5,8,19,24,0.47,0.53,1,2
100,Mainz 05,Nuernberg,12,10,2,3,0.73,0.7,0.55,0.45,14,12,23,22,0.53,0.47,2,1
101,Bayer Leverkusen,Schalke 04,18,8,7,3,0.75,0.86,0.61,0.39,11,5,19,19,0.37,0.63,2,0
102,Hannover 96,Freiburg,15,21,5,8,0.6,0.74,0.55,0.45,5,17,16,11,0.47,0.53,1,2
103,Werder Bremen,Fortuna,22,4,6,3,0.86,0.66,0.77,0.23,16,8,16,34,0.66,0.34,2,1
104,Nuernberg,Bayern Munich,8,7,2,4,0.72,0.84,0.5,0.5,11,7,19,17,0.35,0.65,1,1
105,Hoffenheim,Wolfsburg,25,8,7,4,0.89,0.82,0.45,0.55,10,9,13,23,0.59,0.41,1,3
106,Hamburger SV,Mainz 05,10,15,4,3,0.75,0.71,0.59,0.41,7,14,20,28,0.57,0.43,1,0
107,Eintracht Frankfurt,Augsburg,19,7,4,2,0.73,0.69,0.6,0.4,8,3,17,17,0.56,0.44,4,2
108,Bayern Munich,Hannover 96,19,8,14,5,0.88,0.81,0.61,0.39,14,12,26,19,0.6,0.4,5,0
109,Schalke 04,Eintracht Frankfurt,18,11,4,2,0.76,0.8,0.6,0.4,8,15,22,19,0.49,0.51,1,1
110,Wolfsburg,Werder Bremen,14,12,5,2,0.82,0.76,0.57,0.43,16,14,25,24,0.56,0.44,1,1
111,Hoffenheim,Bayer Leverkusen,25,8,4,4,0.82,0.72,0.29,0.71,14,11,24,14,0.59,0.41,1,2
