,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
163,Zenit St.Petersburg,FC Krasnodar,18,11,10,7,75,63,61,39,7,1,19,29,61,39,4,1
164,Kuban Krasnodar,FC Krasnodar,13,11,4,9,62,62,41,59,4,5,15,18,50,50,1,3
165,FC Krasnodar,Spartak Moscow,21,11,12,2,68,78,48,52,10,8,30,21,38,62,4,0
166,Amkar,Volga Nyzhny,12,7,7,3,78,68,51,49,2,4,12,14,55,45,5,1
167,Zenit St.Petersburg,Rubin Kazan,13,16,9,9,82,74,59,41,12,4,31,26,61,39,6,2
168,Lokomotiv Moscow,Rubin Kazan,7,8,0,0,84,77,48,52,8,0,15,25,58,42,0,0
169,Amkar,Ural,15,14,0,6,71,73,39,61,5,3,19,20,51,49,0,2
170,Lokomotiv Moscow,Spartak Moscow,9,5,2,2,76,70,64,36,3,9,13,16,52,48,0,0
171,FC Rostov,Amkar,13,8,6,5,70,63,51,49,9,3,16,16,55,45,3,3
172,Zenit St.Petersburg,Tom Tomsk,14,13,4,4,75,55,58,42,8,4,20,28,62,38,0,0
173,CSKA Moscow,Ural,21,11,7,2,77,79,38,62,5,6,23,21,49,51,1,0
174,Terek Grozny,Tom Tomsk,17,8,5,3,75,63,65,35,6,1,14,18,60,40,2,0
175,Anzhi Makhachkala,Zenit St.Petersburg,9,13,2,6,67,86,50,50,3,3,28,22,33,67,1,2
176,Rubin Kazan,FC Rostov,15,6,7,2,79,71,65,35,5,5,25,22,55,45,1,2
177,Lokomotiv Moscow,Ural,14,10,9,2,73,78,63,37,4,6,14,13,40,60,3,0
178,Amkar,Lokomotiv Moscow,8,11,2,1,63,72,33,67,4,2,20,22,45,55,0,0
179,Spartak Moscow,Krylya Sovetov Samara,19,14,4,1,80,71,47,53,7,9,18,18,54,46,1,0
180,Volga Nyzhny,Krylya Sovetov Samara,15,5,6,4,68,45,49,51,12,5,27,29,60,40,1,2
181,Dinamo Moscow,FC Krasnodar,12,11,3,4,66,77,57,43,0,3,22,18,46,54,1,2
182,Tom Tomsk,Dinamo Moscow,7,11,2,6,68,78,38,62,3,6,10,14,39,61,1,3
183,Terek Grozny,Kuban Krasnodar,18,10,5,4,76,67,65,35,11,8,12,26,58,42,2,1
184,CSKA Moscow,Zenit St.Petersburg,12,15,1,2,76,84,55,45,8,17,24,19,41,59,1,0
185,Rubin Kazan,Kuban Krasnodar,25,11,12,4,77,60,47,53,4,4,17,18,64,36,0,2
186,Zenit St.Petersburg,Ural,19,9,7,3,78,76,42,58,9,4,17,25,56,44,2,1
187,Kuban Krasnodar,CSKA Moscow,13,12,5,10,82,79,42,58,13,2,20,25,50,50,0,4
188,Ural,Anzhi Makhachkala,20,14,6,6,80,69,71,29,5,4,16,18,51,49,2,1
189,Volga Nyzhny,Tom Tomsk,9,15,1,4,60,54,48,52,7,8,28,19,50,50,0,1
190,Krylya Sovetov Samara,FC Rostov,15,12,1,4,61,67,45,55,3,2,20,20,51,49,0,2
191,Lokomotiv Moscow,Anzhi Makhachkala,17,6,6,0,78,56,43,57,4,7,22,20,64,36,0,0
192,Anzhi Makhachkala,Rubin Kazan,8,9,2,1,69,80,42,58,1,2,21,28,39,61,1,0
193,Rubin Kazan,Spartak Moscow,13,13,5,3,66,80,67,33,4,7,20,14,33,67,2,1
194,Amkar,Terek Grozny,8,5,6,3,68,63,42,58,7,8,21,16,52,48,0,1
195,Zenit St.Petersburg,Krylya Sovetov Samara,14,14,6,5,79,72,60,40,7,5,17,18,51,49,2,1
196,Kuban Krasnodar,Dinamo Moscow,13,9,5,2,75,68,45,55,5,2,11,17,53,47,1,1
197,Dinamo Moscow,CSKA Moscow,14,10,8,3,75,78,57,43,6,10,23,17,51,49,4,2
198,Lokomotiv Moscow,Terek Grozny,14,12,3,4,82,71,51,49,4,5,16,12,61,39,2,1
199,Anzhi Makhachkala,Dinamo Moscow,12,14,6,4,69,85,45,55,10,1,23,22,33,67,4,0
200,Spartak Moscow,Anzhi Makhachkala,8,11,4,5,84,76,32,68,11,4,18,20,58,42,2,2
201,FC Krasnodar,Ural,14,12,2,1,84,66,67,33,4,5,15,23,66,34,0,1
202,Krylya Sovetov Samara,CSKA Moscow,15,18,5,10,73,80,70,30,6,7,22,20,45,55,1,3
203,Rubin Kazan,Volga Nyzhny,13,9,6,2,75,78,75,25,4,5,11,19,49,51,3,1
204,Tom Tomsk,FC Krasnodar,6,18,2,7,52,79,51,49,6,8,14,11,32,68,1,1
205,Kuban Krasnodar,Krylya Sovetov Samara,10,12,5,0,79,79,53,47,9,5,28,17,52,48,4,0
206,Tom Tomsk,Krylya Sovetov Samara,13,4,6,1,58,63,47,53,4,2,18,20,47,53,2,0
207,Volga Nyzhny,Ural,11,18,2,6,73,83,40,60,9,5,20,10,47,53,1,2
208,Rubin Kazan,Ural,17,13,4,2,77,82,52,48,7,2,11,19,43,57,1,0
209,Amkar,FC Krasnodar,12,13,6,9,65,71,68,32,7,4,14,17,49,51,2,2
210,Volga Nyzhny,FC Rostov,11,11,5,3,62,69,44,56,4,7,17,16,41,59,2,1
211,Lokomotiv Moscow,Zenit St.Petersburg,7,8,5,4,73,77,48,52,5,5,14,16,50,50,1,1
212,Anzhi Makhachkala,Krylya Sovetov Samara,20,6,5,2,82,75,36,64,6,2,17,25,59,41,0,1
213,CSKA Moscow,Rubin Kazan,17,12,7,6,82,80,62,38,14,3,33,21,57,43,2,1
214,Tom Tomsk,Spartak Moscow,12,10,3,4,61,80,70,30,2,8,15,18,32,68,2,1
215,Spartak Moscow,Dinamo Moscow,12,14,5,6,68,71,55,45,17,6,23,22,51,49,3,2
216,FC Krasnodar,Lokomotiv Moscow,23,15,6,9,72,61,48,52,6,9,9,13,58,42,1,3
