,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Anzhi Makhachkala,Krylya Sovetov Samara,25,10,5,2,79,72,52,48,11,5,11,24,54,46,0,1
1,CSKA Moscow,Rubin Kazan,28,6,12,1,85,69,55,45,7,8,36,21,70,30,1,0
2,Amkar,FC Krasnodar,6,17,1,6,69,87,42,58,6,4,12,17,30,70,0,1
3,Spartak Moscow,FC Ufa,33,8,9,3,85,47,66,34,4,1,16,14,73,27,2,2
4,FC Rostov,Terek Grozny,15,9,5,2,74,79,55,45,4,8,15,21,47,53,1,1
5,Kuban Krasnodar,Ural,13,19,3,6,73,70,62,38,10,6,13,25,53,47,0,2
6,Zenit St.Petersburg,Dinamo Moscow,18,5,8,2,84,72,32,68,8,11,15,11,56,44,2,1
7,Mordovya,Lokomotiv Moscow,17,14,2,3,66,76,35,65,6,3,25,15,45,55,0,1
8,Anzhi Makhachkala,Lokomotiv Moscow,5,10,2,6,77,73,41,59,8,11,19,12,54,46,1,3
9,Dinamo Moscow,Mordovya,23,12,7,3,86,72,39,61,13,5,18,19,66,34,2,2
10,Ural,Zenit St.Petersburg,12,10,4,6,69,79,44,56,6,13,27,20,43,57,1,4
11,Terek Grozny,Kuban Krasnodar,15,4,3,1,85,66,51,49,12,0,15,23,68,32,1,1
12,FC Ufa,FC Rostov,16,10,5,5,67,77,37,63,8,7,25,15,48,52,1,2
13,FC Krasnodar,Spartak Moscow,17,15,4,4,78,72,39,61,11,5,18,28,57,43,0,1
14,Rubin Kazan,Amkar,16,9,5,3,80,58,54,46,8,4,13,18,61,39,0,2
15,Krylya Sovetov Samara,CSKA Moscow,10,17,1,3,68,85,53,47,1,10,15,15,36,64,0,2
16,CSKA Moscow,Anzhi Makhachkala,15,13,5,4,82,77,56,44,7,10,32,23,61,39,1,0
