,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Amkar,Dinamo Moscow,11,8,4,3,68,82,40,60,2,3,11,28,34,66,2,0
1,Arsenal Tula,FC Rostov,11,11,5,5,70,78,35,65,3,6,20,15,43,57,1,1
2,CSKA Moscow,Kuban Krasnodar,11,11,8,2,74,76,50,50,5,8,14,12,52,48,6,0
3,FC Krasnodar,Zenit St.Petersburg,16,10,6,5,77,69,54,46,2,8,16,20,53,47,2,2
4,Lokomotiv Moscow,Terek Grozny,8,17,2,3,70,83,54,46,7,8,15,15,41,59,2,1
5,Rubin Kazan,Mordovya,22,5,9,0,78,69,67,33,3,7,15,19,55,45,5,0
6,Torpedo Moscow,FC Ufa,17,8,5,5,85,59,70,30,5,2,15,24,71,29,2,2
7,Ural,Spartak Moscow,12,16,4,5,67,70,43,57,2,5,16,22,46,54,2,0
8,Arsenal Tula,Lokomotiv Moscow,19,16,7,6,68,75,48,52,3,7,22,15,42,58,0,2
9,Dinamo Moscow,Spartak Moscow,17,4,7,3,82,63,61,39,12,2,18,24,66,34,1,2
10,Kuban Krasnodar,FC Rostov,12,9,4,3,73,78,38,62,3,3,17,19,43,57,2,2
11,Mordovya,CSKA Moscow,9,15,1,5,78,78,38,61,4,9,18,16,50,50,0,1
12,Terek Grozny,Rubin Kazan,9,10,4,3,70,70,61,39,3,5,13,23,53,47,1,1
13,Zenit St.Petersburg,Torpedo Moscow,25,10,14,6,86,77,67,33,18,11,19,15,63,37,8,1
14,FC Ufa,Amkar,9,12,3,3,60,66,43,57,4,4,12,10,42,58,1,1
15,Ural,FC Krasnodar,12,10,1,4,74,67,59,41,16,5,18,25,56,44,1,1
16,Amkar,Torpedo Moscow,5,3,2,0,71,56,54,46,8,5,21,21,55,45,0,0
17,Arsenal Tula,Rubin Kazan,14,15,5,5,74,65,49,51,11,6,12,19,58,42,0,0
18,CSKA Moscow,Terek Grozny,11,11,4,4,74,88,35,65,10,11,28,19,39,61,1,0
19,FC Krasnodar,Spartak Moscow,15,10,10,3,80,74,47,53,5,3,17,18,52,48,4,0
20,FC Ufa,Dinamo Moscow,16,13,2,6,64,70,45,55,9,5,27,24,49,51,0,2
21,Lokomotiv Moscow,FC Rostov,10,11,4,3,84,78,43,57,4,11,16,15,53,47,2,1
22,Mordovya,Kuban Krasnodar,17,8,4,2,76,71,49,51,9,5,7,18,53,47,0,0
23,Ural,Zenit St.Petersburg,7,16,4,6,78,87,29,71,7,7,23,16,43,57,1,2
24,Dinamo Moscow,Arsenal Tula,19,12,4,4,82,65,55,45,8,4,17,24,62,38,2,2
25,FC Rostov,FC Krasnodar,8,13,4,6,76,76,67,33,7,12,22,23,50,50,0,2
26,Kuban Krasnodar,Amkar,12,3,4,0,76,59,65,35,6,5,15,15,62,38,1,0
