,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
246,Twente,SC Heerenveen,16,13,2,8,80,65,48,52,9,9,14,22,62,38,1,4
247,Willem II,Twente,11,20,6,10,73,71,53,47,2,18,10,14,49,51,2,3
248,FC Utrecht,Feyenoord,11,13,5,3,79,77,26,74,4,10,19,26,52,48,1,2
249,PEC Zwolle,NEC Nijmegen,12,9,3,4,76,73,57,43,11,6,20,21,48,52,2,0
250,Roda,Twente,16,12,2,2,76,72,35,65,8,12,19,23,55,45,0,1
251,NEC Nijmegen,De Graafschap,9,17,3,4,76,68,55,45,12,7,23,18,58,42,2,0
252,NEC Nijmegen,Vitesse,15,17,7,7,66,80,48,52,6,7,15,24,40,60,2,1
253,Ajax,AZ Alkmaar,13,7,6,3,78,75,44,56,11,6,15,25,46,54,4,1
254,SC Heerenveen,Ajax,9,16,1,4,71,76,50,50,2,11,17,21,48,52,0,2
255,Vitesse,SC Heerenveen,11,8,6,3,86,77,47,53,16,7,26,23,60,40,3,0
256,Roda,SC Heerenveen,13,14,6,6,69,79,48,52,6,13,14,21,48,52,1,2
257,ADO Den Haag,Twente,11,14,4,4,70,82,39,61,11,17,32,25,41,59,2,1
258,FC Utrecht,De Graafschap,24,14,10,4,82,65,64,36,10,2,12,22,64,36,0,2
259,FC Groningen,Ajax,16,10,3,8,81,70,40,60,6,10,27,18,60,40,1,2
260,ADO Den Haag,FC Groningen,19,7,6,2,84,74,49,51,4,5,13,13,59,41,0,1
261,PEC Zwolle,De Graafschap,12,13,7,2,76,74,52,48,8,5,13,15,51,49,2,1
262,Cambuur,Willem II,20,8,6,2,73,61,54,46,9,6,18,20,60,40,1,1
263,PEC Zwolle,Feyenoord,16,15,6,4,69,75,36,64,14,9,17,15,44,56,3,1
264,Ajax,PEC Zwolle,15,5,5,1,81,76,67,33,8,5,29,19,54,46,3,0
265,AZ Alkmaar,Excelsior,30,5,10,2,83,60,58,42,17,4,18,25,62,38,2,0
266,Heracles,Feyenoord,6,21,3,10,67,83,33,67,7,8,20,12,37,63,2,2
267,Excelsior,ADO Den Haag,15,12,5,7,71,79,53,47,9,6,8,19,50,50,2,4
268,PEC Zwolle,Roda,11,9,5,5,79,65,43,57,10,8,9,18,62,38,3,1
269,FC Groningen,PSV Eindhoven,5,17,1,9,77,84,38,62,7,6,17,9,46,54,0,3
270,SC Heerenveen,FC Groningen,14,8,6,2,80,74,65,35,13,6,24,7,58,42,1,2
271,NEC Nijmegen,PSV Eindhoven,16,13,4,8,83,88,53,47,4,2,9,11,44,56,0,3
