,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
0,Ajax,Roda,22,6,9,3,91,85,62,38,7,1,12,16,61,39,3,0
1,SC Heerenveen,AZ Alkmaar,17,15,9,4,75,78,44,56,13,10,17,18,44,56,4,2
2,NEC Nijmegen,FC Groningen,9,10,1,6,73,84,56,44,7,12,18,13,41,59,1,4
3,ADO Den Haag,PSV Eindhoven,15,12,4,4,73,80,50,50,4,13,12,14,48,52,2,3
4,Twente,RKC Waalwijk,21,6,7,0,86,70,69,32,12,6,14,21,70,30,0,0
5,Cambuur,NAC Breda,6,11,0,3,75,78,64,36,10,3,16,16,53,47,0,0
6,PEC Zwolle,Feyenoord,14,13,5,4,76,78,49,51,9,8,17,26,44,56,2,1
7,Vitesse,Heracles,22,14,9,9,85,76,57,43,18,8,21,22,59,41,3,1
8,FC Utrecht,Go Ahead Eagles,16,13,7,4,74,82,64,36,8,4,23,13,43,57,1,1
9,Roda,Cambuur,6,12,3,0,74,81,56,44,3,5,18,17,42,58,2,0
10,Go Ahead Eagles,ADO Den Haag,10,18,4,4,73,80,56,44,9,6,30,20,44,56,2,1
11,Heracles,PEC Zwolle,17,14,4,5,77,67,55,45,14,10,21,18,59,41,1,3
12,NAC Breda,SC Heerenveen,11,17,3,7,80,74,52,48,8,16,22,19,54,46,0,2
13,PSV Eindhoven,NEC Nijmegen,19,9,9,1,93,75,36,64,14,4,5,28,68,32,5,0
14,AZ Alkmaar,Ajax,17,14,6,4,78,84,55,45,7,4,25,25,48,52,3,2
15,Feyenoord,Twente,6,27,3,11,80,89,62,38,6,6,20,13,42,58,1,4
16,FC Groningen,FC Utrecht,11,20,6,2,80,78,36,64,12,15,16,23,53,47,2,0
17,RKC Waalwijk,Vitesse,19,14,6,6,76,87,56,44,12,7,16,16,42,58,4,2
18,Cambuur,FC Groningen,15,10,6,3,77,81,45,55,6,3,19,18,45,55,4,1
19,NEC Nijmegen,PEC Zwolle,15,17,8,8,75,85,63,37,4,6,24,12,45,55,1,5
