Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
62,Willem II,Excelsior,15,8,6,3,81,66,52,48,7,7,17,17,62,38,1,1
63,FC Utrecht,PSV Eindhoven,7,25,1,11,79,88,25,75,7,10,22,15,44,56,1,5
64,NAC Breda,Ajax,16,20,5,8,85,87,47,53,9,17,22,27,48,52,2,5
65,Ajax,SC Heerenveen,13,11,5,6,85,71,62,38,9,7,15,23,67,33,4,1
66,AZ Alkmaar,FC Groningen,20,9,5,4,82,72,47,53,5,4,14,14,57,43,2,2
67,ADO Den Haag,AZ Alkmaar,12,13,6,7,76,76,54,46,13,8,16,23,50,50,2,3
68,FC Groningen,PSV Eindhoven,14,26,4,8,80,80,43,57,4,21,23,18,53,47,1,1
69,Excelsior,Twente,11,9,4,2,74,87,43,57,8,9,20,10,35,65,2,1
70,Excelsior,Cambuur,14,15,5,7,65,80,63,37,5,7,19,12,36,64,1,1
71,PEC Zwolle,Twente,14,12,6,6,83,79,28,72,3,14,23,21,52,48,1,2
72,PEC Zwolle,SC Heerenveen,12,9,5,5,81,78,58,42,7,5,19,24,52,48,2,2
73,FC Groningen,Willem II,14,11,3,3,82,80,47,53,3,7,21,19,51,49,1,0
74,Heracles,ADO Den Haag,16,15,4,5,72,75,39,61,12,9,12,13,48,52,3,1
75,Go Ahead Eagles,Heracles,11,26,3,13,60,83,57,43,4,6,19,16,33,67,1,3
76,Twente,FC Utrecht,12,9,9,4,75,81,54,46,15,7,16,15,40,60,3,1
77,FC Utrecht,Cambuur,12,24,6,9,76,80,52,48,7,7,18,14,39,61,1,3
78,Ajax,FC Dordrecht,19,6,9,3,81,74,56,44,15,5,18,19,53,47,4,0
79,SC Heerenveen,PSV Eindhoven,14,19,4,4,66,81,50,50,7,20,30,15,42,58,1,0
80,FC Dordrecht,Willem II,9,9,2,5,73,69,52,48,7,11,30,19,53,47,0,4
81,Feyenoord,PEC Zwolle,15,4,6,2,87,77,43,57,4,4,19,12,60,40,2,0
82,Vitesse,ADO Den Haag,16,7,9,3,91,67,42,58,16,9,12,21,74,26,6,1
83,SC Heerenveen,Heracles,22,8,6,4,77,67,50,50,7,15,23,23,65,35,0,1
84,Twente,SC Heerenveen,12,10,5,2,76,76,62,38,10,11,20,20,48,52,2,0
85,Heracles,NAC Breda,22,5,13,2,86,63,57,43,7,12,15,20,69,31,6,1
86,NAC Breda,FC Utrecht,9,14,3,9,76,78,44,56,11,7,18,16,48,52,1,5
87,PSV Eindhoven,ADO Den Haag,9,10,3,0,81,81,42,58,13,2,19,16,49,51,1,0
88,Cambuur,FC Dordrecht,16,10,5,4,79,68,40,60,8,1,22,19,62,38,4,1
89,Vitesse,Go Ahead Eagles,26,10,10,6,85,70,37,63,9,5,20,14,67,33,2,2
90,FC Utrecht,Vitesse,13,14,8,7,73,86,43,57,5,11,26,25,39,61,3,1
91,Willem II,SC Heerenveen,16,14,11,5,76,62,50,50,12,5,8,31,54,46,2,1
92,Cambuur,AZ Alkmaar,8,16,3,6,72,68,52,48,6,16,23,18,58,42,0,2
93,Willem II,Cambuur,13,19,3,6,66,74,46,54,3,5,13,18,44,56,1,1
94,FC Utrecht,Go Ahead Eagles,24,14,10,7,77,66,41,59,7,8,17,16,50,50,2,3
95,ADO Den Haag,Ajax,12,9,4,2,74,79,53,47,7,16,19,13,53,47,1,1
96,FC Groningen,NAC Breda,14,17,7,6,84,81,54,46,7,16,14,19,50,50,1,0
97,PSV Eindhoven,Excelsior,18,13,11,3,81,77,40,60,10,8,13,15,53,47,3,0
98,Excelsior,PEC Zwolle,6,14,2,6,80,90,43,57,7,5,12,12,42,58,0,5
99,AZ Alkmaar,Excelsior,15,13,8,7,82,69,48,52,14,15,27,23,64,36,3,3
100,AZ Alkmaar,Twente,20,11,6,2,74,81,49,51,8,11,25,15,42,58,2,2
101,Twente,FC Groningen,12,8,5,3,80,66,71,29,8,8,17,24,63,37,1,2
102,Excelsior,FC Utrecht,15,10,8,2,75,79,39,61,8,4,10,29,41,59,2,2
103,Feyenoord,FC Groningen,27,4,10,0,89,68,47,53,14,9,18,17,68,32,4,0
104,PSV Eindhoven,Feyenoord,15,15,8,5,75,79,49,51,8,8,8,25,42,58,4,3
105,ADO Den Haag,Willem II,7,14,4,8,68,83,44,56,2,6,22,11,41,59,3,2
106,Ajax,PEC Zwolle,19,11,2,5,88,79,57,43,11,4,24,19,63,37,0,0
107,AZ Alkmaar,Go Ahead Eagles,15,14,8,2,79,79,45,55,5,7,20,19,51,49,2,0
108,SC Heerenveen,Go Ahead Eagles,24,10,4,6,82,58,48,52,5,5,9,16,66,34,2,2
109,Willem II,Vitesse,7,23,3,8,76,82,60,40,10,11,20,22,47,53,1,4
110,Excelsior,Feyenoord,4,12,1,7,67,88,55,45,5,4,16,14,28,72,2,5
111,NAC Breda,AZ Alkmaar,11,15,4,5,78,75,42,58,12,7,22,26,52,48,0,1
112,PSV Eindhoven,AZ Alkmaar,18,7,6,1,81,73,62,38,16,6,10,13,58,42,3,0
113,Cambuur,NAC Breda,19,8,1,4,85,61,51,49,6,6,16,23,67,33,0,1
114,Cambuur,Ajax,14,16,5,6,71,77,50,50,9,8,12,21,49,51,2,4
115,NAC Breda,ADO Den Haag,14,10,6,3,83,60,34,66,6,6,20,17,61,39,1,1
116,FC Dordrecht,PSV Eindhoven,7,40,2,15,72,90,46,54,3,19,23,10,34,66,1,3
117,FC Dordrecht,Twente,5,15,2,7,71,89,50,50,5,12,25,21,27,73,0,4
118,Feyenoord,Heracles,23,6,11,4,80,66,57,43,5,2,10,13,62,38,2,1
119,Ajax,Willem II,18,12,9,4,89,80,29,71,3,12,13,25,63,37,5,0
120,PEC Zwolle,FC Groningen,14,14,4,6,84,79,50,50,2,5,12,16,49,51,2,0
121,Twente,Ajax,10,15,2,6,84,86,62,38,9,7,12,18,46,54,1,1
122,PEC Zwolle,ADO Den Haag,16,13,8,2,83,68,52,48,4,4,13,15,63,37,3,1
123,Vitesse,Feyenoord,10,13,2,8,72,68,55,45,4,5,9,18,52,48,0,0
124,SC Heerenveen,Cambuur,9,13,2,8,70,74,49,51,8,10,20,22,45,55,2,2
125,FC Utrecht,Heracles,23,8,7,5,82,55,56,44,8,7,20,28,71,29,2,4
126,Heracles,PSV Eindhoven,11,20,3,5,67,83,53,47,11,11,26,15,38,62,1,2
127,FC Dordrecht,FC Utrecht,12,12,2,6,71,73,51,49,4,10,11,14,52,48,1,3
128,Feyenoord,Ajax,18,5,4,3,79,66,49,51,5,7,36,22,62,38,0,1
129,FC Groningen,SC Heerenveen,10,21,1,4,79,84,33,67,7,13,22,9,44,56,1,1
130,Go Ahead Eagles,PEC Zwolle,13,16,8,6,66,80,47,53,5,6,24,15,44,56,3,2
131,PSV Eindhoven,Cambuur,18,11,6,3,80,83,63,37,8,4,21,21,41,59,4,0
132,Vitesse,Twente,23,12,8,5,80,89,53,47,4,7,29,14,46,54,2,2
133,FC Groningen,Excelsior,19,6,10,1,81,72,42,58,9,9,25,28,60,40,1,1
134,AZ Alkmaar,PEC Zwolle,19,9,4,1,81,76,70,30,8,4,19,23,55,45,1,0
135,Heracles,FC Dordrecht,14,10,4,3,72,65,43,57,9,5,16,15,53,47,1,1
136,NAC Breda,SC Heerenveen,8,13,2,5,75,77,40,60,13,10,24,26,45,55,0,2
137,ADO Den Haag,Excelsior,13,9,6,5,79,62,70,30,6,5,10,17,63,37,2,2
138,Feyenoord,AZ Alkmaar,20,7,4,5,84,53,41,59,3,5,13,13,73,27,2,2
139,Go Ahead Eagles,Cambuur,12,10,3,7,76,72,24,76,3,9,16,19,51,49,1,2
140,SC Heerenveen,Vitesse,16,15,9,7,77,74,55,45,22,9,29,29,51,49,4,1
141,Twente,PEC Zwolle,19,14,12,5,71,71,52,48,9,6,16,16,53,47,2,0
142,Vitesse,PEC Zwolle,22,8,5,3,82,63,46,54,23,9,27,18,61,39,2,1
143,Ajax,Feyenoord,5,20,1,5,76,83,40,60,8,8,23,26,42,58,0,0
144,SC Heerenveen,Ajax,8,12,2,6,77,79,19,81,7,15,29,33,46,54,1,4
145,AZ Alkmaar,Willem II,12,13,2,5,62,75,52,48,8,6,20,21,44,56,2,0
146,NAC Breda,Willem II,11,8,1,0,66,79,62,38,8,5,21,14,35,65,0,0
