Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
60,Sivasspor,Eskisehirspor,17,13,6,6,77,65,25,75,3,2,11,14,69,31,1,2
61,Gaziantepspor,Bursaspor,15,9,7,4,65,65,60,40,8,5,12,16,52,48,2,3
62,Osmanlispor FK,Galatasaray,14,12,7,5,70,74,39,61,7,4,16,18,41,59,3,2
63,Osmanlispor FK,Sivasspor,20,8,7,2,73,73,60,40,4,7,19,18,50,50,4,0
64,Kasimpasa,Genclerbirligi,16,4,4,1,73,67,50,50,4,7,26,16,56,44,0,1
65,Akhisar Belediyespor,Trabzonspor,10,8,2,3,72,53,54,46,2,4,13,20,60,40,2,1
66,Antalyaspor,Fenerbahce,15,11,9,5,71,81,56,44,6,7,20,13,46,54,4,2
67,Bursaspor,Istanbul Basaksehir,10,16,5,6,66,85,35,65,7,12,16,17,31,69,3,3
68,Besiktas,Gaziantepspor,13,13,9,6,83,76,63,37,7,7,25,24,61,39,4,0
69,Galatasaray,Konyaspor,12,9,1,3,68,68,57,43,6,9,15,13,53,47,0,0
70,Rizespor,Eskisehirspor,18,5,4,3,82,72,57,43,6,5,27,19,59,41,1,1
71,Kayseri Erciyessporspor,Mersin,13,9,3,3,70,68,56,44,8,5,20,26,53,47,0,1
72,Akhisar Belediyespor,Fenerbahce,8,8,2,3,75,68,43,57,5,9,15,13,51,49,0,3
73,Osmanlispor FK,Gaziantepspor,14,5,2,1,73,69,57,43,13,1,22,15,51,49,1,1
74,Kasimpasa,Antalyaspor,9,9,3,3,83,77,72,28,7,7,20,18,56,44,2,1
75,Kayseri Erciyessporspor,Genclerbirligi,27,5,3,2,85,70,48,52,4,11,17,18,62,38,0,2
76,Galatasaray,Istanbul Basaksehir,18,10,8,5,89,74,13,87,5,7,12,17,65,35,3,3
77,Konyaspor,Trabzonspor,11,9,3,3,83,73,54,46,4,7,20,16,59,41,2,0
78,Bursaspor,Rizespor,14,8,3,1,76,83,41,59,7,5,12,14,36,64,1,0
79,Besiktas,Eskisehirspor,17,9,9,3,88,73,74,26,5,9,15,11,63,37,3,1
80,Mersin,Sivasspor,13,10,5,4,67,73,58,42,4,6,17,20,46,54,1,0
81,Akhisar Belediyespor,Kasimpasa,8,14,0,7,71,74,41,59,11,14,22,9,49,51,0,1
82,Kayseri Erciyessporspor,Antalyaspor,12,2,2,1,81,77,53,47,5,8,10,17,50,50,0,0
83,Gaziantepspor,Sivasspor,5,8,2,2,76,63,51,49,8,7,13,16,60,40,0,1
84,Konyaspor,Fenerbahce,6,11,3,4,63,70,50,50,10,12,22,33,43,57,2,1
85,Mersin,Genclerbirligi,11,7,2,3,83,75,25,75,10,11,22,17,59,41,1,3
86,Trabzonspor,Istanbul Basaksehir,8,13,3,5,82,80,63,37,7,7,14,14,53,47,1,1
87,Besiktas,Bursaspor,26,7,9,3,84,69,60,40,7,0,22,21,63,37,3,2
88,Galatasaray,Rizespor,18,10,6,2,90,79,59,41,8,9,16,24,62,38,1,1
89,Osmanlispor FK,Eskisehirspor,14,5,5,0,80,77,48,52,13,10,25,21,54,46,0,0
90,Genclerbirligi,Trabzonspor,12,8,4,1,73,81,47,53,9,10,13,19,42,58,3,1
91,Eskisehirspor,Konyaspor,10,11,4,4,82,88,56,44,14,5,16,16,40,60,1,2
92,Kasimpasa,Kayseri Erciyessporspor,13,6,4,2,80,61,65,35,5,9,16,12,62,38,1,2
93,Antalyaspor,Galatasaray,22,8,6,2,81,86,62,38,10,12,10,9,42,58,4,2
94,Bursaspor,Akhisar Belediyespor,8,5,1,3,71,73,40,60,1,7,20,15,54,46,0,2
95,Sivasspor,Besiktas,9,4,2,2,71,81,59,41,11,9,11,16,39,61,1,2
96,Istanbul Basaksehir,Gaziantepspor,26,6,9,3,85,71,50,50,6,5,17,11,66,34,4,1
97,Fenerbahce,Mersin,17,5,6,2,87,73,55,45,13,10,20,23,59,41,4,1
98,Rizespor,Osmanlispor FK,11,16,1,5,80,77,50,50,13,21,12,21,50,50,0,1
99,Istanbul Basaksehir,Fenerbahce,7,17,5,10,67,71,57,43,5,12,20,17,47,53,2,1
100,Osmanlispor FK,Bursaspor,18,9,7,3,77,71,56,44,13,3,17,18,50,50,3,3
101,Trabzonspor,Rizespor,20,17,10,6,83,83,50,50,11,8,13,18,47,53,6,0
102,Sivasspor,Genclerbirligi,17,14,5,6,80,76,63,37,8,10,13,20,56,44,2,1
103,Galatasaray,Besiktas,12,19,1,10,82,78,37,63,2,7,21,10,57,43,0,1
104,Konyaspor,Kasimpasa,7,12,5,6,66,76,32,68,5,5,17,16,48,52,2,0
105,Mersin,Antalyaspor,8,12,3,5,76,83,60,40,5,10,15,11,43,57,0,1
106,Gaziantepspor,Eskisehirspor,12,8,6,1,65,71,52,48,4,10,16,15,43,57,1,1
107,Akhisar Belediyespor,Kayseri Erciyessporspor,10,9,6,1,78,80,60,40,7,7,18,6,48,52,1,1
108,Rizespor,Gaziantepspor,1,22,1,4,47,80,46,54,4,7,17,4,32,68,1,0
109,Bursaspor,Konyaspor,16,10,6,2,77,77,55,45,5,10,8,9,48,52,1,1
110,Kayseri Erciyessporspor,Sivasspor,14,10,5,2,61,75,41,59,8,6,13,13,34,66,1,1
111,Akhisar Belediyespor,Galatasaray,17,11,4,3,78,80,50,50,8,3,17,9,48,52,1,2
112,Fenerbahce,Genclerbirligi,19,11,3,4,86,81,66,34,9,3,13,28,55,45,2,1
113,Eskisehirspor,Istanbul Basaksehir,14,9,2,4,83,74,41,59,11,2,6,14,61,39,1,2
114,Antalyaspor,Trabzonspor,15,7,11,3,85,85,43,57,9,4,19,9,52,48,7,0
115,Kasimpasa,Mersin,23,5,15,0,89,71,61,39,9,7,16,20,67,33,7,0
116,Besiktas,Osmanlispor FK,17,12,4,5,84,78,60,40,10,2,27,19,59,41,3,1
117,Sivasspor,Osmanlispor FK,6,11,2,3,80,68,62,38,3,11,19,19,60,40,1,1
118,Genclerbirligi,Kasimpasa,7,18,1,4,62,72,36,64,5,10,20,18,44,56,1,0
119,Trabzonspor,Akhisar Belediyespor,20,10,8,5,83,73,50,50,15,1,11,21,62,38,2,2
120,Fenerbahce,Antalyaspor,21,10,7,3,85,71,64,36,12,12,21,24,62,38,2,1
121,Istanbul Basaksehir,Bursaspor,8,7,3,2,83,80,60,40,7,1,7,10,48,52,2,1
122,Gaziantepspor,Besiktas,12,10,3,5,68,81,33,67,7,4,19,20,38,62,0,4
123,Konyaspor,Galatasaray,15,13,5,7,80,83,48,52,7,8,10,12,44,56,1,4
124,Eskisehirspor,Rizespor,23,13,6,5,81,69,52,48,14,8,15,23,59,41,1,1
125,Mersin,Kayseri Erciyessporspor,12,12,4,5,78,68,35,65,8,12,16,11,63,37,1,2
126,Fenerbahce,Akhisar Belediyespor,22,3,7,2,85,79,77,23,10,7,18,16,54,46,2,2
127,Gaziantepspor,Osmanlispor FK,10,16,3,3,69,74,56,44,7,8,14,20,47,53,2,1
128,Antalyaspor,Kasimpasa,15,10,4,2,77,74,73,27,6,11,18,16,51,49,0,0
129,Genclerbirligi,Kayseri Erciyessporspor,10,12,4,4,69,73,41,59,1,4,6,9,41,59,2,0
130,Istanbul Basaksehir,Galatasaray,11,12,6,3,75,78,43,57,10,5,12,19,45,55,0,2
131,Trabzonspor,Konyaspor,15,7,5,2,80,64,55,45,13,5,15,16,61,39,1,2
132,Rizespor,Bursaspor,17,10,5,4,77,81,43,57,7,6,26,16,48,52,2,3
133,Eskisehirspor,Besiktas,10,19,4,4,76,83,68,32,12,14,26,30,43,57,1,2
134,Sivasspor,Mersin,11,21,7,4,59,79,29,71,6,5,22,13,36,64,2,2
135,Kasimpasa,Akhisar Belediyespor,14,6,5,3,76,73,46,54,5,4,12,16,50,50,2,1
136,Antalyaspor,Kayseri Erciyessporspor,10,15,4,4,74,69,39,61,6,9,17,11,54,46,1,1
137,Sivasspor,Gaziantepspor,18,7,7,1,80,78,45,55,8,6,15,17,53,47,3,0
138,Fenerbahce,Konyaspor,18,8,7,1,82,69,56,44,10,9,18,24,63,37,1,0
139,Genclerbirligi,Mersin,17,5,7,3,71,67,49,51,8,8,9,15,51,49,1,1
140,Istanbul Basaksehir,Trabzonspor,18,10,6,1,75,83,41,59,8,12,16,22,40,60,1,0
141,Bursaspor,Besiktas,12,9,5,2,70,70,37,63,4,5,21,15,52,48,0,1
142,Rizespor,Galatasaray,12,14,7,6,75,89,57,43,5,4,16,6,31,69,4,3
143,Eskisehirspor,Osmanlispor FK,12,11,1,4,79,66,53,47,8,9,13,23,61,39,0,2
144,Trabzonspor,Genclerbirligi,10,11,3,0,81,78,65,35,6,12,24,15,57,43,1,0
145,Konyaspor,Eskisehirspor,6,10,5,6,78,66,77,23,12,11,25,24,61,39,3,2
