,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
60,Genclerbirligi,Trabzonspor,8,16,2,1,69,78,59,41,3,1,13,15,44,56,1,1
61,Galatasaray,Besiktas,13,16,4,4,75,87,55,45,8,16,17,16,41,59,2,0
62,Besiktas,Gaziantepspor,24,12,9,2,83,72,56,44,6,10,18,15,59,41,1,1
63,Balikesirspor,Eskisehirspor,10,18,8,7,65,80,67,33,7,5,26,18,39,61,4,1
64,Sivasspor,Mersin,11,12,3,4,65,78,41,59,11,7,13,12,39,61,1,2
65,Istanbul Basaksehir,Fenerbahce,16,11,5,6,75,80,51,49,20,4,12,20,37,63,2,2
66,Eskisehirspor,Kasimpasa,6,5,5,2,79,76,50,50,5,2,21,14,53,47,4,1
67,Sivasspor,Bursaspor,10,15,5,3,70,80,47,53,12,7,28,17,46,54,4,1
68,Bursaspor,Istanbul Basaksehir,19,15,8,3,74,78,69,31,5,7,12,14,51,49,4,1
69,Kasimpasa,Kayseri Erciyesspor,18,13,6,6,82,75,58,42,4,8,12,14,53,47,3,3
70,Kayseri Erciyesspor,Mersin,12,16,3,6,80,80,58,42,6,7,7,12,47,53,2,2
71,Istanbul Basaksehir,Genclerbirligi,11,8,7,3,81,79,42,58,2,6,21,20,51,49,3,1
72,Eskisehirspor,Fenerbahce,12,6,7,0,70,75,63,37,3,0,13,19,45,55,1,1
73,Trabzonspor,Balikesirspor,23,12,8,4,83,71,59,41,6,5,15,14,62,38,3,2
74,Fenerbahce,Kayseri Erciyesspor,21,13,7,5,70,74,61,39,6,7,14,24,54,46,1,1
75,Bursaspor,Kayseri Erciyesspor,15,3,6,1,87,72,36,64,12,2,22,25,64,36,3,0
76,Balikesirspor,Kayseri Erciyesspor,14,24,5,3,68,81,47,53,4,12,23,19,40,60,1,1
77,Gaziantepspor,Eskisehirspor,16,15,9,7,76,86,44,56,5,10,17,9,37,63,3,2
78,Istanbul Basaksehir,Sivasspor,16,6,5,3,81,72,48,52,7,4,10,15,56,44,2,1
79,Akhisar Belediyespor,Gaziantepspor,14,13,6,4,84,81,52,48,5,17,8,16,45,55,3,0
80,Konyaspor,Akhisar Belediyespor,15,8,6,1,71,79,32,68,7,9,18,11,44,56,2,1
81,Konyaspor,Rizespor,18,11,2,3,88,74,45,55,10,4,17,19,64,36,1,1
82,Konyaspor,Genclerbirligi,12,5,3,1,73,75,58,42,7,12,13,22,50,50,1,0
83,Genclerbirligi,Kasimpasa,10,13,6,6,79,76,43,57,4,4,9,19,51,49,5,2
84,Besiktas,Karabukspor,12,7,6,1,79,71,64,36,9,7,12,13,54,46,2,1
85,Mersin,Istanbul Basaksehir,14,23,3,13,81,78,73,27,6,5,13,14,50,50,2,2
86,Akhisar Belediyespor,Besiktas,16,17,6,5,76,83,46,54,11,6,13,10,40,60,1,1
87,Besiktas,Istanbul Basaksehir,16,14,5,5,79,71,38,62,9,6,18,18,58,42,0,0
88,Rizespor,Kasimpasa,10,19,3,5,80,72,62,38,2,4,17,11,58,42,1,3
89,Balikesirspor,Gaziantepspor,20,12,8,7,82,71,68,32,9,8,14,15,51,49,1,1
90,Mersin,Galatasaray,17,14,4,6,78,78,60,40,3,5,17,8,50,50,0,1
91,Rizespor,Fenerbahce,19,18,4,8,82,84,50,50,2,7,19,14,45,55,1,5
92,Fenerbahce,Balikesirspor,27,10,7,4,88,76,54,46,8,2,13,13,69,31,4,3
93,Fenerbahce,Kasimpasa,17,10,8,3,87,74,30,70,12,4,16,14,68,32,2,0
94,Kasimpasa,Balikesirspor,14,6,3,3,80,78,53,47,4,4,19,15,56,44,2,3
95,Eskisehirspor,Sivasspor,14,10,5,4,78,71,21,79,6,7,15,18,58,42,1,3
96,Kasimpasa,Bursaspor,16,16,7,6,69,86,21,79,3,8,18,9,31,69,5,3
97,Rizespor,Galatasaray,14,18,4,3,90,92,14,86,12,7,27,20,47,53,1,1
98,Karabukspor,Eskisehirspor,21,5,6,2,84,70,67,33,7,3,21,12,64,36,2,2
99,Konyaspor,Trabzonspor,8,10,2,0,68,74,43,57,3,11,12,15,43,57,1,0
100,Gaziantepspor,Genclerbirligi,16,9,2,5,80,76,69,31,7,1,12,14,59,41,0,3
101,Bursaspor,Konyaspor,14,15,6,6,84,73,68,32,17,7,18,13,60,40,0,0
102,Trabzonspor,Bursaspor,14,13,2,5,76,79,58,42,10,12,18,17,44,56,1,0
103,Galatasaray,Karabukspor,22,15,10,3,78,80,37,63,16,3,26,14,48,52,4,2
104,Trabzonspor,Besiktas,8,17,1,7,77,81,50,50,2,6,12,21,47,53,0,2
105,Eskisehirspor,Akhisar Belediyespor,18,11,8,3,91,80,45,55,13,2,10,19,64,36,1,3
106,Gaziantepspor,Rizespor,13,10,4,5,84,76,42,58,6,4,11,17,64,36,1,2
107,Balikesirspor,Mersin,13,14,2,7,74,81,55,45,5,2,22,16,43,57,1,3
108,Akhisar Belediyespor,Galatasaray,15,13,6,5,85,83,75,25,5,2,13,19,51,49,0,2
